Timestep,Timestep,Pressure,Potential_Temperature,Temperature,Rainfall,Mixing_Depth,Relative_Humidity,Specific_Humidity,Mixing_Ratio,Terrain_Altitude,Solar_Radiation,geometry,DateTime,Temperature_C
0.0,0.0,982.3,297.5,296.0,0.4,1011.9,71.5,12.5,12.8,160.4,269.6,POINT Z (-96.748 32.716 0),2023-01-02 22:00:00,22.850000000000023
-0.0,-0.0,982.3,297.5,296.0,0.4,1011.7,71.5,12.5,12.8,160.6,269.6,POINT Z (-96.75 32.711 0),2023-01-02 21:59:00,22.850000000000023
-0.0,-0.0,982.3,297.5,296.0,0.4,1016.2,71.5,12.6,12.8,160.8,270.2,POINT Z (-96.751 32.707 0),2023-01-02 21:58:00,22.850000000000023
-0.1,-0.1,982.2,297.5,296.0,0.4,1020.7,71.5,12.6,12.8,161.1,270.7,POINT Z (-96.753 32.702 0),2023-01-02 21:57:00,22.850000000000023
-0.1,-0.1,982.2,297.6,296.0,0.4,1025.2,71.5,12.6,12.8,161.3,271.3,POINT Z (-96.754 32.698 0),2023-01-02 21:56:00,22.850000000000023
-0.1,-0.1,982.2,297.6,296.1,0.5,1029.7,71.5,12.6,12.9,161.5,271.9,POINT Z (-96.756 32.693 0),2023-01-02 21:55:00,22.950000000000045
-0.1,-0.1,982.2,297.6,296.1,0.5,1034.3,71.5,12.6,12.9,161.7,272.4,POINT Z (-96.75700000000001 32.689 0),2023-01-02 21:54:00,22.950000000000045
-0.1,-0.1,982.2,297.6,296.1,0.5,1038.8,71.5,12.6,12.9,161.9,273.0,POINT Z (-96.759 32.684 0),2023-01-02 21:53:00,22.950000000000045
-0.1,-0.1,982.2,297.7,296.1,0.5,1043.3,71.5,12.6,12.9,162.1,273.5,POINT Z (-96.76000000000001 32.68 0),2023-01-02 21:52:00,22.950000000000045
-0.2,-0.2,982.2,297.7,296.2,0.5,1047.8,71.5,12.7,12.9,162.3,274.1,POINT Z (-96.762 32.675 0),2023-01-02 21:51:00,23.05000000000001
-0.2,-0.2,982.2,297.7,296.2,0.5,1052.3,71.5,12.7,12.9,162.5,274.6,POINT Z (-96.764 32.671 0),2023-01-02 21:50:00,23.05000000000001
-0.2,-0.2,982.2,297.7,296.2,0.5,1056.9,71.5,12.7,13.0,162.8,275.1,POINT Z (-96.765 32.666 0),2023-01-02 21:49:00,23.05000000000001
